16x16 , 256 , ['cropflip'] , ['c'] , 608
32x16 , 512 , ['cropflip'] , ['c'] , 1209
64x16 , 1024 , ['cropflip'] , ['c'] , 2362
128x16 , 2048 , ['cropflip'] , ['c'] , 5002
256x16 , 4096 , ['cropflip'] , ['c'] , 9781
512x16 , 8192 , ['cropflip'] , ['c'] , 19111
1024x16 , 16384 , ['cropflip'] , ['c'] , 37956
2048x16 , 32768 , ['cropflip'] , ['c'] , 76349
4096x16 , 65536 , ['cropflip'] , ['c'] , 155938
8192x16 , 131072 , ['cropflip'] , ['c'] , 311505
16x16 , 256 , ['cropflip'] , ['c'] , 608
16x32 , 512 , ['cropflip'] , ['c'] , 1221
16x64 , 1024 , ['cropflip'] , ['c'] , 2409
16x128 , 2048 , ['cropflip'] , ['c'] , 4791
16x256 , 4096 , ['cropflip'] , ['c'] , 9597
16x512 , 8192 , ['cropflip'] , ['c'] , 19167
16x1024 , 16384 , ['cropflip'] , ['c'] , 38291
16x2048 , 32768 , ['cropflip'] , ['c'] , 77517
16x4096 , 65536 , ['cropflip'] , ['c'] , 159837
16x8192 , 131072 , ['cropflip'] , ['c'] , 319549
16x16 , 256 , ['cropflip'] , ['c'] , 608
32x32 , 1024 , ['cropflip'] , ['c'] , 2385
64x64 , 4096 , ['cropflip'] , ['c'] , 9398
128x128 , 16384 , ['cropflip'] , ['c'] , 40104
256x256 , 65536 , ['cropflip'] , ['c'] , 158598
512x512 , 262144 , ['cropflip'] , ['c'] , 630169
1024x1024 , 1048576 , ['cropflip'] , ['c'] , 4106284
2048x2048 , 4194304 , ['cropflip'] , ['c'] , 15710302
4096x4096 , 16777216 , ['cropflip'] , ['c'] , 64179899
8192x8192 , 67108864 , ['cropflip'] , ['c'] , 259152207
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '1'] , 519
32x16 , 512 , ['cropflip'] , ['asm'  '-j'  '1'] , 664
64x16 , 1024 , ['cropflip'] , ['asm'  '-j'  '1'] , 981
128x16 , 2048 , ['cropflip'] , ['asm'  '-j'  '1'] , 1668
256x16 , 4096 , ['cropflip'] , ['asm'  '-j'  '1'] , 3446
512x16 , 8192 , ['cropflip'] , ['asm'  '-j'  '1'] , 6717
1024x16 , 16384 , ['cropflip'] , ['asm'  '-j'  '1'] , 12391
2048x16 , 32768 , ['cropflip'] , ['asm'  '-j'  '1'] , 26492
4096x16 , 65536 , ['cropflip'] , ['asm'  '-j'  '1'] , 57695
8192x16 , 131072 , ['cropflip'] , ['asm'  '-j'  '1'] , 121235
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '1'] , 519
16x32 , 512 , ['cropflip'] , ['asm'  '-j'  '1'] , 1028
16x64 , 1024 , ['cropflip'] , ['asm'  '-j'  '1'] , 2000
16x128 , 2048 , ['cropflip'] , ['asm'  '-j'  '1'] , 3974
16x256 , 4096 , ['cropflip'] , ['asm'  '-j'  '1'] , 8015
16x512 , 8192 , ['cropflip'] , ['asm'  '-j'  '1'] , 16080
16x1024 , 16384 , ['cropflip'] , ['asm'  '-j'  '1'] , 32160
16x2048 , 32768 , ['cropflip'] , ['asm'  '-j'  '1'] , 65888
16x4096 , 65536 , ['cropflip'] , ['asm'  '-j'  '1'] , 140963
16x8192 , 131072 , ['cropflip'] , ['asm'  '-j'  '1'] , 285375
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '1'] , 519
32x32 , 1024 , ['cropflip'] , ['asm'  '-j'  '1'] , 1319
64x64 , 4096 , ['cropflip'] , ['asm'  '-j'  '1'] , 4430
128x128 , 16384 , ['cropflip'] , ['asm'  '-j'  '1'] , 17508
256x256 , 65536 , ['cropflip'] , ['asm'  '-j'  '1'] , 74415
512x512 , 262144 , ['cropflip'] , ['asm'  '-j'  '1'] , 272945
1024x1024 , 1048576 , ['cropflip'] , ['asm'  '-j'  '1'] , 2374453
2048x2048 , 4194304 , ['cropflip'] , ['asm'  '-j'  '1'] , 10541158
4096x4096 , 16777216 , ['cropflip'] , ['asm'  '-j'  '1'] , 42235970
8192x8192 , 67108864 , ['cropflip'] , ['asm'  '-j'  '1'] , 168890652
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '2'] , 821
32x16 , 512 , ['cropflip'] , ['asm'  '-j'  '2'] , 1493
64x16 , 1024 , ['cropflip'] , ['asm'  '-j'  '2'] , 2770
128x16 , 2048 , ['cropflip'] , ['asm'  '-j'  '2'] , 5422
256x16 , 4096 , ['cropflip'] , ['asm'  '-j'  '2'] , 10892
512x16 , 8192 , ['cropflip'] , ['asm'  '-j'  '2'] , 21316
1024x16 , 16384 , ['cropflip'] , ['asm'  '-j'  '2'] , 42163
2048x16 , 32768 , ['cropflip'] , ['asm'  '-j'  '2'] , 83970
4096x16 , 65536 , ['cropflip'] , ['asm'  '-j'  '2'] , 168652
8192x16 , 131072 , ['cropflip'] , ['asm'  '-j'  '2'] , 337194
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '2'] , 821
16x32 , 512 , ['cropflip'] , ['asm'  '-j'  '2'] , 1574
16x64 , 1024 , ['cropflip'] , ['asm'  '-j'  '2'] , 3061
16x128 , 2048 , ['cropflip'] , ['asm'  '-j'  '2'] , 6086
16x256 , 4096 , ['cropflip'] , ['asm'  '-j'  '2'] , 12131
16x512 , 8192 , ['cropflip'] , ['asm'  '-j'  '2'] , 24231
16x1024 , 16384 , ['cropflip'] , ['asm'  '-j'  '2'] , 48291
16x2048 , 32768 , ['cropflip'] , ['asm'  '-j'  '2'] , 97031
16x4096 , 65536 , ['cropflip'] , ['asm'  '-j'  '2'] , 194765
16x8192 , 131072 , ['cropflip'] , ['asm'  '-j'  '2'] , 389884
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '2'] , 821
32x32 , 1024 , ['cropflip'] , ['asm'  '-j'  '2'] , 2859
64x64 , 4096 , ['cropflip'] , ['asm'  '-j'  '2'] , 10880
128x128 , 16384 , ['cropflip'] , ['asm'  '-j'  '2'] , 42483
256x256 , 65536 , ['cropflip'] , ['asm'  '-j'  '2'] , 173322
512x512 , 262144 , ['cropflip'] , ['asm'  '-j'  '2'] , 685997
1024x1024 , 1048576 , ['cropflip'] , ['asm'  '-j'  '2'] , 3088009
2048x2048 , 4194304 , ['cropflip'] , ['asm'  '-j'  '2'] , 15923283
4096x4096 , 16777216 , ['cropflip'] , ['asm'  '-j'  '2'] , 65792957
8192x8192 , 67108864 , ['cropflip'] , ['asm'  '-j'  '2'] , 266746729
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '3'] , 492
