16x16 ,256, ['cropflip'] , ['c'] ,1179
32x16 ,512, ['cropflip'] , ['c'] ,2286
64x16 ,1024, ['cropflip'] , ['c'] ,4900
128x16 ,2048, ['cropflip'] , ['c'] ,9124
256x16 ,4096, ['cropflip'] , ['c'] ,17613
512x16 ,8192, ['cropflip'] , ['c'] ,15333
1024x16 ,16384, ['cropflip'] , ['c'] ,68301
2048x16 ,32768, ['cropflip'] , ['c'] ,58818
4096x16 ,65536, ['cropflip'] , ['c'] ,206916
8192x16 ,131072, ['cropflip'] , ['c'] ,413052
16x16 ,256, ['cropflip'] , ['c'] ,1179
16x32 ,512, ['cropflip'] , ['c'] ,1005
16x64 ,1024, ['cropflip'] , ['c'] ,4447
16x128 ,2048, ['cropflip'] , ['c'] ,8802
16x256 ,4096, ['cropflip'] , ['c'] ,17531
16x512 ,8192, ['cropflip'] , ['c'] ,34963
16x1024 ,16384, ['cropflip'] , ['c'] ,31026
16x2048 ,32768, ['cropflip'] , ['c'] ,139582
16x4096 ,65536, ['cropflip'] , ['c'] ,153992
16x8192 ,131072, ['cropflip'] , ['c'] ,241338
16x16 ,256, ['cropflip'] , ['c'] ,1179
32x32 ,1024, ['cropflip'] , ['c'] ,4414
64x64 ,4096, ['cropflip'] , ['c'] ,19412
128x128 ,16384, ['cropflip'] , ['c'] ,72468
256x256 ,65536, ['cropflip'] , ['c'] ,144604
512x512 ,262144, ['cropflip'] , ['c'] ,475938
1024x1024 ,1048576, ['cropflip'] , ['c'] ,2230581
2048x2048 ,4194304, ['cropflip'] , ['c'] ,9667416
4096x4096 ,16777216, ['cropflip'] , ['c'] ,39183018
8192x8192 ,67108864, ['cropflip'] , ['c'] ,156458256
16x16 ,256, ['cropflip'] , ['asm'  '-j'  '1'] ,1072
32x16 ,512, ['cropflip'] , ['asm'  '-j'  '1'] ,872
64x16 ,1024, ['cropflip'] , ['asm'  '-j'  '1'] ,1897
128x16 ,2048, ['cropflip'] , ['asm'  '-j'  '1'] ,2887
256x16 ,4096, ['cropflip'] , ['asm'  '-j'  '1'] ,4537
512x16 ,8192, ['cropflip'] , ['asm'  '-j'  '1'] ,4551
1024x16 ,16384, ['cropflip'] , ['asm'  '-j'  '1'] ,8475
2048x16 ,32768, ['cropflip'] , ['asm'  '-j'  '1'] ,37150
4096x16 ,65536, ['cropflip'] , ['asm'  '-j'  '1'] ,87417
8192x16 ,131072, ['cropflip'] , ['asm'  '-j'  '1'] ,155752
16x16 ,256, ['cropflip'] , ['asm'  '-j'  '1'] ,1072
16x32 ,512, ['cropflip'] , ['asm'  '-j'  '1'] ,2029
16x64 ,1024, ['cropflip'] , ['asm'  '-j'  '1'] ,3943
16x128 ,2048, ['cropflip'] , ['asm'  '-j'  '1'] ,7821
16x256 ,4096, ['cropflip'] , ['asm'  '-j'  '1'] ,15501
16x512 ,8192, ['cropflip'] , ['asm'  '-j'  '1'] ,30822
16x1024 ,16384, ['cropflip'] , ['asm'  '-j'  '1'] ,61438
16x2048 ,32768, ['cropflip'] , ['asm'  '-j'  '1'] ,122777
16x4096 ,65536, ['cropflip'] , ['asm'  '-j'  '1'] ,108699
16x8192 ,131072, ['cropflip'] , ['asm'  '-j'  '1'] ,217905
16x16 ,256, ['cropflip'] , ['asm'  '-j'  '1'] ,1072
32x32 ,1024, ['cropflip'] , ['asm'  '-j'  '1'] ,1122
64x64 ,4096, ['cropflip'] , ['asm'  '-j'  '1'] ,7425
128x128 ,16384, ['cropflip'] , ['asm'  '-j'  '1'] ,26821
256x256 ,65536, ['cropflip'] , ['asm'  '-j'  '1'] ,56720
512x512 ,262144, ['cropflip'] , ['asm'  '-j'  '1'] ,186252
1024x1024 ,1048576, ['cropflip'] , ['asm'  '-j'  '1'] ,1547433
2048x2048 ,4194304, ['cropflip'] , ['asm'  '-j'  '1'] ,6897465
4096x4096 ,16777216, ['cropflip'] , ['asm'  '-j'  '1'] ,26760186
8192x8192 ,67108864, ['cropflip'] , ['asm'  '-j'  '1'] ,106376466
16x16 ,256, ['cropflip'] , ['asm'  '-j'  '2'] ,954
32x16 ,512, ['cropflip'] , ['asm'  '-j'  '2'] ,3993
64x16 ,1024, ['cropflip'] , ['asm'  '-j'  '2'] ,3728
128x16 ,2048, ['cropflip'] , ['asm'  '-j'  '2'] ,6702
256x16 ,4096, ['cropflip'] , ['asm'  '-j'  '2'] ,30542
512x16 ,8192, ['cropflip'] , ['asm'  '-j'  '2'] ,60192
1024x16 ,16384, ['cropflip'] , ['asm'  '-j'  '2'] ,119253
2048x16 ,32768, ['cropflip'] , ['asm'  '-j'  '2'] ,102732
4096x16 ,65536, ['cropflip'] , ['asm'  '-j'  '2'] ,244720
8192x16 ,131072, ['cropflip'] , ['asm'  '-j'  '2'] ,409623
16x16 ,256, ['cropflip'] , ['asm'  '-j'  '2'] ,954
16x32 ,512, ['cropflip'] , ['asm'  '-j'  '2'] ,2660
16x64 ,1024, ['cropflip'] , ['asm'  '-j'  '2'] ,8184
16x128 ,2048, ['cropflip'] , ['asm'  '-j'  '2'] ,16236
16x256 ,4096, ['cropflip'] , ['asm'  '-j'  '2'] ,32356
16x512 ,8192, ['cropflip'] , ['asm'  '-j'  '2'] ,64572
16x1024 ,16384, ['cropflip'] , ['asm'  '-j'  '2'] ,66572
16x2048 ,32768, ['cropflip'] , ['asm'  '-j'  '2'] ,257862
16x4096 ,65536, ['cropflip'] , ['asm'  '-j'  '2'] ,222942
16x8192 ,131072, ['cropflip'] , ['asm'  '-j'  '2'] ,445779
16x16 ,256, ['cropflip'] , ['asm'  '-j'  '2'] ,954
32x32 ,1024, ['cropflip'] , ['asm'  '-j'  '2'] ,4320
64x64 ,4096, ['cropflip'] , ['asm'  '-j'  '2'] ,25578
128x128 ,16384, ['cropflip'] , ['asm'  '-j'  '2'] ,119502
256x256 ,65536, ['cropflip'] , ['asm'  '-j'  '2'] ,210843
