16x16 , 256 , ['cropflip'] , ['c'] , 906
32x16 , 512 , ['cropflip'] , ['c'] , 3387
64x16 , 1024 , ['cropflip'] , ['c'] , 3130
128x16 , 2048 , ['cropflip'] , ['c'] , 13825
256x16 , 4096 , ['cropflip'] , ['c'] , 15250
512x16 , 8192 , ['cropflip'] , ['c'] , 24605
1024x16 , 16384 , ['cropflip'] , ['c'] , 63700
2048x16 , 32768 , ['cropflip'] , ['c'] , 117728
4096x16 , 65536 , ['cropflip'] , ['c'] , 365756
8192x16 , 131072 , ['cropflip'] , ['c'] , 657130
16x16 , 256 , ['cropflip'] , ['c'] , 906
16x32 , 512 , ['cropflip'] , ['c'] , 888
16x64 , 1024 , ['cropflip'] , ['c'] , 2700
16x128 , 2048 , ['cropflip'] , ['c'] , 8214
16x256 , 4096 , ['cropflip'] , ['c'] , 11825
16x512 , 8192 , ['cropflip'] , ['c'] , 38545
16x1024 , 16384 , ['cropflip'] , ['c'] , 56424
16x2048 , 32768 , ['cropflip'] , ['c'] , 141350
16x4096 , 65536 , ['cropflip'] , ['c'] , 423200
16x8192 , 131072 , ['cropflip'] , ['c'] , 429105
16x16 , 256 , ['cropflip'] , ['c'] , 906
32x32 , 1024 , ['cropflip'] , ['c'] , 2730
64x64 , 4096 , ['cropflip'] , ['c'] , 19617
128x128 , 16384 , ['cropflip'] , ['c'] , 87840
256x256 , 65536 , ['cropflip'] , ['c'] , 308664
512x512 , 262144 , ['cropflip'] , ['c'] , 785160
1024x1024 , 1048576 , ['cropflip'] , ['c'] , 3553795
2048x2048 , 4194304 , ['cropflip'] , ['c'] , 13557766
4096x4096 , 16777216 , ['cropflip'] , ['c'] , 54551166
8192x8192 , 67108864 , ['cropflip'] , ['c'] , 219240900
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '1'] , 1119
32x16 , 512 , ['cropflip'] , ['asm'  '-j'  '1'] , 1030
64x16 , 1024 , ['cropflip'] , ['asm'  '-j'  '1'] , 1150
128x16 , 2048 , ['cropflip'] , ['asm'  '-j'  '1'] , 4337
256x16 , 4096 , ['cropflip'] , ['asm'  '-j'  '1'] , 4828
512x16 , 8192 , ['cropflip'] , ['asm'  '-j'  '1'] , 18200
1024x16 , 16384 , ['cropflip'] , ['asm'  '-j'  '1'] , 19336
2048x16 , 32768 , ['cropflip'] , ['asm'  '-j'  '1'] , 67205
4096x16 , 65536 , ['cropflip'] , ['asm'  '-j'  '1'] , 187245
8192x16 , 131072 , ['cropflip'] , ['asm'  '-j'  '1'] , 225700
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '1'] , 1119
16x32 , 512 , ['cropflip'] , ['asm'  '-j'  '1'] , 768
16x64 , 1024 , ['cropflip'] , ['asm'  '-j'  '1'] , 1862
16x128 , 2048 , ['cropflip'] , ['asm'  '-j'  '1'] , 6807
16x256 , 4096 , ['cropflip'] , ['asm'  '-j'  '1'] , 7978
16x512 , 8192 , ['cropflip'] , ['asm'  '-j'  '1'] , 31800
16x1024 , 16384 , ['cropflip'] , ['asm'  '-j'  '1'] , 46476
16x2048 , 32768 , ['cropflip'] , ['asm'  '-j'  '1'] , 99729
16x4096 , 65536 , ['cropflip'] , ['asm'  '-j'  '1'] , 290900
16x8192 , 131072 , ['cropflip'] , ['asm'  '-j'  '1'] , 533646
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '1'] , 1119
32x32 , 1024 , ['cropflip'] , ['asm'  '-j'  '1'] , 1730
64x64 , 4096 , ['cropflip'] , ['asm'  '-j'  '1'] , 7341
128x128 , 16384 , ['cropflip'] , ['asm'  '-j'  '1'] , 29991
256x256 , 65536 , ['cropflip'] , ['asm'  '-j'  '1'] , 141225
512x512 , 262144 , ['cropflip'] , ['asm'  '-j'  '1'] , 458154
1024x1024 , 1048576 , ['cropflip'] , ['asm'  '-j'  '1'] , 3206636
2048x2048 , 4194304 , ['cropflip'] , ['asm'  '-j'  '1'] , 13381084
4096x4096 , 16777216 , ['cropflip'] , ['asm'  '-j'  '1'] , 54116891
8192x8192 , 67108864 , ['cropflip'] , ['asm'  '-j'  '1'] , 215382284
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '2'] , 1631
32x16 , 512 , ['cropflip'] , ['asm'  '-j'  '2'] , 3230
64x16 , 1024 , ['cropflip'] , ['asm'  '-j'  '2'] , 4910
128x16 , 2048 , ['cropflip'] , ['asm'  '-j'  '2'] , 22813
256x16 , 4096 , ['cropflip'] , ['asm'  '-j'  '2'] , 26515
512x16 , 8192 , ['cropflip'] , ['asm'  '-j'  '2'] , 91212
1024x16 , 16384 , ['cropflip'] , ['asm'  '-j'  '2'] , 111256
2048x16 , 32768 , ['cropflip'] , ['asm'  '-j'  '2'] , 180019
4096x16 , 65536 , ['cropflip'] , ['asm'  '-j'  '2'] , 574760
8192x16 , 131072 , ['cropflip'] , ['asm'  '-j'  '2'] , 717631
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '2'] , 1631
16x32 , 512 , ['cropflip'] , ['asm'  '-j'  '2'] , 2960
16x64 , 1024 , ['cropflip'] , ['asm'  '-j'  '2'] , 8370
16x128 , 2048 , ['cropflip'] , ['asm'  '-j'  '2'] , 15142
16x256 , 4096 , ['cropflip'] , ['asm'  '-j'  '2'] , 17838
16x512 , 8192 , ['cropflip'] , ['asm'  '-j'  '2'] , 71155
16x1024 , 16384 , ['cropflip'] , ['asm'  '-j'  '2'] , 104224
16x2048 , 32768 , ['cropflip'] , ['asm'  '-j'  '2'] , 240456
16x4096 , 65536 , ['cropflip'] , ['asm'  '-j'  '2'] , 480707
16x8192 , 131072 , ['cropflip'] , ['asm'  '-j'  '2'] , 915758
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '2'] , 1631
32x32 , 1024 , ['cropflip'] , ['asm'  '-j'  '2'] , 5290
64x64 , 4096 , ['cropflip'] , ['asm'  '-j'  '2'] , 30692
128x128 , 16384 , ['cropflip'] , ['asm'  '-j'  '2'] , 131945
256x256 , 65536 , ['cropflip'] , ['asm'  '-j'  '2'] , 454607
512x512 , 262144 , ['cropflip'] , ['asm'  '-j'  '2'] , 1865854
1024x1024 , 1048576 , ['cropflip'] , ['asm'  '-j'  '2'] , 3799925
2048x2048 , 4194304 , ['cropflip'] , ['asm'  '-j'  '2'] , 15034239
4096x4096 , 16777216 , ['cropflip'] , ['asm'  '-j'  '2'] , 59460169
8192x8192 , 67108864 , ['cropflip'] , ['asm'  '-j'  '2'] , 238076068
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '3'] , 1064
32x16 , 512 , ['cropflip'] , ['asm'  '-j'  '3'] , 1760
64x16 , 1024 , ['cropflip'] , ['asm'  '-j'  '3'] , 2570
128x16 , 2048 , ['cropflip'] , ['asm'  '-j'  '3'] , 9370
256x16 , 4096 , ['cropflip'] , ['asm'  '-j'  '3'] , 13114
512x16 , 8192 , ['cropflip'] , ['asm'  '-j'  '3'] , 43462
1024x16 , 16384 , ['cropflip'] , ['asm'  '-j'  '3'] , 52593
2048x16 , 32768 , ['cropflip'] , ['asm'  '-j'  '3'] , 81706
4096x16 , 65536 , ['cropflip'] , ['asm'  '-j'  '3'] , 231845
8192x16 , 131072 , ['cropflip'] , ['asm'  '-j'  '3'] , 308160
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '3'] , 1064
16x32 , 512 , ['cropflip'] , ['asm'  '-j'  '3'] , 1680
16x64 , 1024 , ['cropflip'] , ['asm'  '-j'  '3'] , 5600
16x128 , 2048 , ['cropflip'] , ['asm'  '-j'  '3'] , 8493
16x256 , 4096 , ['cropflip'] , ['asm'  '-j'  '3'] , 9974
16x512 , 8192 , ['cropflip'] , ['asm'  '-j'  '3'] , 43720
16x1024 , 16384 , ['cropflip'] , ['asm'  '-j'  '3'] , 58154
16x2048 , 32768 , ['cropflip'] , ['asm'  '-j'  '3'] , 134128
16x4096 , 65536 , ['cropflip'] , ['asm'  '-j'  '3'] , 290350
16x8192 , 131072 , ['cropflip'] , ['asm'  '-j'  '3'] , 535851
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '3'] , 1064
32x32 , 1024 , ['cropflip'] , ['asm'  '-j'  '3'] , 2840
64x64 , 4096 , ['cropflip'] , ['asm'  '-j'  '3'] , 15891
128x128 , 16384 , ['cropflip'] , ['asm'  '-j'  '3'] , 67082
256x256 , 65536 , ['cropflip'] , ['asm'  '-j'  '3'] , 224335
512x512 , 262144 , ['cropflip'] , ['asm'  '-j'  '3'] , 1179560
1024x1024 , 1048576 , ['cropflip'] , ['asm'  '-j'  '3'] , 3203685
2048x2048 , 4194304 , ['cropflip'] , ['asm'  '-j'  '3'] , 13426883
4096x4096 , 16777216 , ['cropflip'] , ['asm'  '-j'  '3'] , 53975797
8192x8192 , 67108864 , ['cropflip'] , ['asm'  '-j'  '3'] , 216322663
16x16 , 256 , ['sepia'] , ['c'] , 5493
32x16 , 512 , ['sepia'] , ['c'] , 10052
64x16 , 1024 , ['sepia'] , ['c'] , 15780
128x16 , 2048 , ['sepia'] , ['c'] , 59240
256x16 , 4096 , ['sepia'] , ['c'] , 83965
512x16 , 8192 , ['sepia'] , ['c'] , 133010
1024x16 , 16384 , ['sepia'] , ['c'] , 359521
2048x16 , 32768 , ['sepia'] , ['c'] , 550475
4096x16 , 65536 , ['sepia'] , ['c'] , 1441028
8192x16 , 131072 , ['sepia'] , ['c'] , 1626032
16x16 , 256 , ['sepia'] , ['c'] , 5493
16x32 , 512 , ['sepia'] , ['c'] , 8945
16x64 , 1024 , ['sepia'] , ['c'] , 30350
16x128 , 2048 , ['sepia'] , ['c'] , 43165
16x256 , 4096 , ['sepia'] , ['c'] , 151400
16x512 , 8192 , ['sepia'] , ['c'] , 221173
16x1024 , 16384 , ['sepia'] , ['c'] , 287550
16x2048 , 32768 , ['sepia'] , ['c'] , 750558
16x4096 , 65536 , ['sepia'] , ['c'] , 1150560
16x8192 , 131072 , ['sepia'] , ['c'] , 3045844
16x16 , 256 , ['sepia'] , ['c'] , 5493
32x32 , 1024 , ['sepia'] , ['c'] , 16665
64x64 , 4096 , ['sepia'] , ['c'] , 98667
128x128 , 16384 , ['sepia'] , ['c'] , 425991
256x256 , 65536 , ['sepia'] , ['c'] , 1339522
512x512 , 262144 , ['sepia'] , ['c'] , 5015846
1024x1024 , 1048576 , ['sepia'] , ['c'] , 13535584
2048x2048 , 4194304 , ['sepia'] , ['c'] , 39185419
4096x4096 , 16777216 , ['sepia'] , ['c'] , 160652353
8192x8192 , 67108864 , ['sepia'] , ['c'] , 634144566
16x16 , 256 , ['sepia'] , ['asm'  '-j'  '1'] , 2443
32x16 , 512 , ['sepia'] , ['asm'  '-j'  '1'] , 4430
