16x16 , 256 , ['cropflip'] , ['c'] , 460
32x16 , 512 , ['cropflip'] , ['c'] , 3400
64x16 , 1024 , ['cropflip'] , ['c'] , 4570
128x16 , 2048 , ['cropflip'] , ['c'] , 13862
256x16 , 4096 , ['cropflip'] , ['c'] , 16421
512x16 , 8192 , ['cropflip'] , ['c'] , 16083
1024x16 , 16384 , ['cropflip'] , ['c'] , 103500
2048x16 , 32768 , ['cropflip'] , ['c'] , 54953
4096x16 , 65536 , ['cropflip'] , ['c'] , 109686
8192x16 , 131072 , ['cropflip'] , ['c'] , 410606
16x16 , 256 , ['cropflip'] , ['c'] , 460
16x32 , 512 , ['cropflip'] , ['c'] , 941
16x64 , 1024 , ['cropflip'] , ['c'] , 1800
16x128 , 2048 , ['cropflip'] , ['c'] , 3445
16x256 , 4096 , ['cropflip'] , ['c'] , 7089
16x512 , 8192 , ['cropflip'] , ['c'] , 53012
16x1024 , 16384 , ['cropflip'] , ['c'] , 28212
16x2048 , 32768 , ['cropflip'] , ['c'] , 56403
16x4096 , 65536 , ['cropflip'] , ['c'] , 338480
16x8192 , 131072 , ['cropflip'] , ['c'] , 211491
16x16 , 256 , ['cropflip'] , ['c'] , 460
32x32 , 1024 , ['cropflip'] , ['c'] , 1765
64x64 , 4096 , ['cropflip'] , ['c'] , 29425
128x128 , 16384 , ['cropflip'] , ['c'] , 109787
256x256 , 65536 , ['cropflip'] , ['c'] , 231210
512x512 , 262144 , ['cropflip'] , ['c'] , 445250
1024x1024 , 1048576 , ['cropflip'] , ['c'] , 3408488
2048x2048 , 4194304 , ['cropflip'] , ['c'] , 13498640
4096x4096 , 16777216 , ['cropflip'] , ['c'] , 53514306
8192x8192 , 67108864 , ['cropflip'] , ['c'] , 214131073
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '1'] , 1537
32x16 , 512 , ['cropflip'] , ['asm'  '-j'  '1'] , 704
64x16 , 1024 , ['cropflip'] , ['asm'  '-j'  '1'] , 2737
128x16 , 2048 , ['cropflip'] , ['asm'  '-j'  '1'] , 1156
256x16 , 4096 , ['cropflip'] , ['asm'  '-j'  '1'] , 3092
512x16 , 8192 , ['cropflip'] , ['asm'  '-j'  '1'] , 7465
1024x16 , 16384 , ['cropflip'] , ['asm'  '-j'  '1'] , 12064
2048x16 , 32768 , ['cropflip'] , ['asm'  '-j'  '1'] , 21424
4096x16 , 65536 , ['cropflip'] , ['asm'  '-j'  '1'] , 55821
8192x16 , 131072 , ['cropflip'] , ['asm'  '-j'  '1'] , 175035
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '1'] , 1537
16x32 , 512 , ['cropflip'] , ['asm'  '-j'  '1'] , 765
16x64 , 1024 , ['cropflip'] , ['asm'  '-j'  '1'] , 1486
16x128 , 2048 , ['cropflip'] , ['asm'  '-j'  '1'] , 3156
16x256 , 4096 , ['cropflip'] , ['asm'  '-j'  '1'] , 5850
16x512 , 8192 , ['cropflip'] , ['asm'  '-j'  '1'] , 43588
16x1024 , 16384 , ['cropflip'] , ['asm'  '-j'  '1'] , 23229
16x2048 , 32768 , ['cropflip'] , ['asm'  '-j'  '1'] , 46647
16x4096 , 65536 , ['cropflip'] , ['asm'  '-j'  '1'] , 207007
16x8192 , 131072 , ['cropflip'] , ['asm'  '-j'  '1'] , 368050
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '1'] , 1537
32x32 , 1024 , ['cropflip'] , ['asm'  '-j'  '1'] , 980
64x64 , 4096 , ['cropflip'] , ['asm'  '-j'  '1'] , 7776
128x128 , 16384 , ['cropflip'] , ['asm'  '-j'  '1'] , 21652
256x256 , 65536 , ['cropflip'] , ['asm'  '-j'  '1'] , 86325
512x512 , 262144 , ['cropflip'] , ['asm'  '-j'  '1'] , 229640
1024x1024 , 1048576 , ['cropflip'] , ['asm'  '-j'  '1'] , 3213118
2048x2048 , 4194304 , ['cropflip'] , ['asm'  '-j'  '1'] , 13035915
4096x4096 , 16777216 , ['cropflip'] , ['asm'  '-j'  '1'] , 52549491
8192x8192 , 67108864 , ['cropflip'] , ['asm'  '-j'  '1'] , 210073678
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '2'] , 759
32x16 , 512 , ['cropflip'] , ['asm'  '-j'  '2'] , 1912
64x16 , 1024 , ['cropflip'] , ['asm'  '-j'  '2'] , 10050
128x16 , 2048 , ['cropflip'] , ['asm'  '-j'  '2'] , 5824
256x16 , 4096 , ['cropflip'] , ['asm'  '-j'  '2'] , 15975
512x16 , 8192 , ['cropflip'] , ['asm'  '-j'  '2'] , 32980
1024x16 , 16384 , ['cropflip'] , ['asm'  '-j'  '2'] , 53948
2048x16 , 32768 , ['cropflip'] , ['asm'  '-j'  '2'] , 82341
4096x16 , 65536 , ['cropflip'] , ['asm'  '-j'  '2'] , 164268
8192x16 , 131072 , ['cropflip'] , ['asm'  '-j'  '2'] , 329188
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '2'] , 759
16x32 , 512 , ['cropflip'] , ['asm'  '-j'  '2'] , 1465
